site,country,referrer_domain,position,referrer_link,site_page,clicks
"https://www.righttoknow.org.au","Australia",delimiter.com.au,1,"http://www.delimiter.com.au/2016/02/17/delimiter-files-foi-request-seeking-rationale-for-nbn-sell-off/","request/foi_application_documents_inform/new",65
"https://www.righttoknow.org.au","Australia",delimiter.com.au,2,"http://www.delimiter.com.au/2016/01/06/nbn-co-rejects-foi-request-for-basic-fttn-modem-details/","/request/uni_dsl_specification_as_maintain",16
"https://www.righttoknow.org.au","Australia",delimiter.com.au,3,"http://www.delimiter.com.au/2016/02/17/delimiter-files-foi-request-seeking-rationale-for-nbn-sell-off/","/request/complaints_related_to_the_remova_3",1
"https://www.righttoknow.org.au","Australia",delimiter.com.au,4,"http://www.delimiter.com.au/2016/02/17/delimiter-files-foi-request-seeking-rationale-for-nbn-sell-off/","/request/requests_for_access_to_telecommu",1
"https://www.righttoknow.org.au","Australia",m.facebook.com,1,"n/a","/request/documents_relating_to_the_advers",40
"https://www.righttoknow.org.au","Australia",m.facebook.com,2,"n/a","/request/royal_prince_alfred_hospital_sta",28
"https://www.righttoknow.org.au","Australia",m.facebook.com,3,"n/a","/request/retired_politicians_pensions_ben",20
"https://www.righttoknow.org.au","Australia",m.facebook.com,4,"n/a","/request/documents_relating_to_the_safety",16
"https://www.righttoknow.org.au","Australia",m.facebook.com,5,"n/a","/request/documents_relating_to_the_advers_2/new",14
"https://www.righttoknow.org.au","Australia",m.facebook.com,6,"n/a","/request/documents_summarising_or_analysi",13
"https://www.righttoknow.org.au","Australia",m.facebook.com,7,"n/a","/request/documents_relating_to_the_health/new",10
"https://www.righttoknow.org.au","Australia",m.facebook.com,8,"n/a","/request/my_childs_health_record/new",9
"https://www.righttoknow.org.au","Australia",m.facebook.com,9,"n/a","/request/documents_summarising_or_analysi/new",7
"https://www.righttoknow.org.au","Australia",m.facebook.com,10,"n/a","/",4
"https://www.righttoknow.org.au","Australia",facebook.com,1,"n/a","/request/documents_relating_to_the_advers",12
"https://www.righttoknow.org.au","Australia",facebook.com,2,"n/a","/request/retired_politicians_pensions_ben",6
"https://www.righttoknow.org.au","Australia",facebook.com,3,"n/a","/request/royal_prince_alfred_hospital_sta",6
"https://www.righttoknow.org.au","Australia",facebook.com,4,"n/a","/request/documents_relating_to_the_advers_2/new",4
"https://www.righttoknow.org.au","Australia",facebook.com,5,"n/a","/request/documents_relating_to_the_safet",4
"https://www.righttoknow.org.au","Australia",facebook.com,6,"n/a","/",3
"https://www.righttoknow.org.au","Australia",facebook.com,7,"n/a","/request/documents_summarising_or_analysi",3
"https://www.righttoknow.org.au","Australia",facebook.com,8,"n/a","/request/documents_relating_to_the_advers_2/new",3
"https://www.righttoknow.org.au","Australia",facebook.com,9,"n/a","/request/documents_summarising_or_analysi/new",3
"https://www.righttoknow.org.au","Australia",facebook.com,10,"n/a","/request/principality_of_hutt_river_provi",2
"https://www.righttoknow.org.au","Australia",theguardian.com,1,"http://www.theguardian.com/australia-news/2016/feb/05/ian-macdonald-rages-against-mp-rules-i-could-employ-a-mistress-but-not-my-wife","/request/gold_pass_travel_and_employment",69
